RESOURCE,MGR_ID,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE,target
871.0,1109.0,21.0,58.0,85.0,22.0,1901.0,64.0,23.0,1
5075.0,777.0,21.0,64.0,363.0,52.0,1867.0,14.0,56.0,1
5566.0,2734.0,21.0,66.0,48.0,127.0,193.0,15.0,136.0,1
3117.0,13.0,21.0,74.0,60.0,22.0,7.0,64.0,23.0,1
5032.0,1241.0,21.0,66.0,41.0,4.0,7.0,64.0,4.0,1
692.0,316.0,21.0,66.0,322.0,22.0,7.0,64.0,23.0,1
105.0,2888.0,21.0,72.0,273.0,17.0,39.0,64.0,18.0,1
594.0,653.0,21.0,64.0,70.0,11.0,2177.0,5.0,11.0,1
538.0,1766.0,92.0,126.0,400.0,22.0,7.0,64.0,23.0,0
396.0,1934.0,43.0,50.0,31.0,13.0,30.0,61.0,13.0,1
5566.0,833.0,86.0,114.0,426.0,124.0,2243.0,14.0,133.0,0
5478.0,1933.0,21.0,58.0,225.0,184.0,473.0,11.0,194.0,1
1494.0,2065.0,30.0,31.0,19.0,0.0,4.0,3.0,0.0,1
1329.0,1151.0,21.0,64.0,70.0,21.0,1402.0,7.0,22.0,1
5065.0,943.0,21.0,74.0,6.0,4.0,7.0,64.0,4.0,1
327.0,564.0,7.0,42.0,13.0,3.0,323.0,3.0,3.0,1
1897.0,920.0,105.0,145.0,20.0,6.0,1092.0,65.0,5.0,1
4205.0,3523.0,86.0,114.0,159.0,57.0,1458.0,14.0,62.0,1
3506.0,693.0,53.0,63.0,190.0,60.0,1374.0,8.0,66.0,1
881.0,732.0,21.0,64.0,62.0,107.0,1774.0,14.0,116.0,1
3553.0,2958.0,30.0,31.0,14.0,3.0,4.0,3.0,3.0,1
314.0,4167.0,77.0,102.0,70.0,88.0,1402.0,7.0,96.0,1
1040.0,3575.0,16.0,14.0,13.0,36.0,2309.0,3.0,40.0,1
590.0,246.0,59.0,78.0,220.0,11.0,53.0,5.0,11.0,1
2055.0,1305.0,21.0,66.0,264.0,246.0,1952.0,35.0,256.0,1
2377.0,3449.0,21.0,74.0,131.0,41.0,953.0,24.0,45.0,1
165.0,3656.0,21.0,71.0,376.0,21.0,1402.0,7.0,22.0,1
3339.0,1080.0,21.0,58.0,52.0,22.0,7.0,64.0,23.0,1
2369.0,409.0,21.0,71.0,208.0,22.0,7.0,64.0,23.0,1
54.0,79.0,21.0,21.0,278.0,22.0,7.0,64.0,23.0,1
567.0,1761.0,21.0,66.0,220.0,11.0,349.0,5.0,11.0,1
4418.0,55.0,21.0,64.0,138.0,17.0,428.0,64.0,18.0,1
2058.0,2623.0,48.0,55.0,219.0,4.0,1901.0,64.0,4.0,1
5567.0,558.0,86.0,114.0,38.0,280.0,1475.0,14.0,289.0,1
385.0,411.0,21.0,74.0,209.0,11.0,21.0,5.0,11.0,1
174.0,1110.0,21.0,64.0,46.0,184.0,630.0,11.0,194.0,1
2720.0,2823.0,14.0,12.0,18.0,36.0,2153.0,3.0,40.0,0
5567.0,1503.0,21.0,74.0,321.0,83.0,1926.0,21.0,91.0,1
1042.0,75.0,21.0,64.0,316.0,46.0,2143.0,66.0,50.0,1
5757.0,636.0,21.0,64.0,138.0,4.0,2194.0,64.0,4.0,1
3960.0,2287.0,21.0,74.0,64.0,247.0,2003.0,17.0,114.0,1
1329.0,3807.0,3.0,34.0,160.0,154.0,1894.0,23.0,163.0,1
405.0,337.0,21.0,64.0,46.0,83.0,2311.0,21.0,91.0,1
4067.0,2639.0,21.0,58.0,52.0,40.0,2143.0,66.0,44.0,1
577.0,449.0,21.0,58.0,205.0,65.0,219.0,30.0,72.0,1
1685.0,2370.0,64.0,84.0,19.0,3.0,65.0,3.0,3.0,1
4915.0,3704.0,33.0,38.0,13.0,0.0,32.0,3.0,0.0,1
2142.0,1330.0,10.0,92.0,18.0,36.0,666.0,3.0,40.0,1
1556.0,2831.0,43.0,50.0,162.0,35.0,1765.0,63.0,39.0,1
4765.0,2395.0,53.0,63.0,136.0,94.0,1216.0,17.0,102.0,1
5690.0,3697.0,9.0,7.0,69.0,129.0,195.0,13.0,138.0,1
1429.0,346.0,50.0,57.0,44.0,230.0,514.0,10.0,240.0,1
5145.0,2570.0,21.0,21.0,142.0,46.0,496.0,66.0,50.0,1
838.0,1564.0,21.0,68.0,44.0,125.0,188.0,21.0,134.0,1
811.0,176.0,21.0,66.0,69.0,139.0,527.0,13.0,149.0,1
4802.0,515.0,21.0,71.0,258.0,40.0,2143.0,66.0,44.0,1
3149.0,2285.0,21.0,58.0,217.0,56.0,376.0,13.0,60.0,1
308.0,3346.0,29.0,30.0,13.0,3.0,2.0,3.0,3.0,1
3374.0,3694.0,6.0,51.0,122.0,331.0,1515.0,65.0,64.0,1
4841.0,1070.0,78.0,103.0,82.0,46.0,2296.0,66.0,50.0,1
5895.0,2754.0,21.0,64.0,178.0,164.0,2093.0,13.0,173.0,1
4110.0,955.0,49.0,56.0,104.0,51.0,2304.0,4.0,55.0,1
5065.0,892.0,21.0,64.0,70.0,22.0,7.0,64.0,23.0,1
1623.0,1314.0,21.0,64.0,168.0,27.0,1028.0,14.0,28.0,1
4500.0,2884.0,3.0,34.0,99.0,44.0,425.0,15.0,48.0,1
5898.0,2746.0,9.0,7.0,193.0,4.0,7.0,64.0,4.0,1
5566.0,837.0,72.0,93.0,363.0,57.0,2299.0,14.0,62.0,1
159.0,397.0,21.0,64.0,202.0,48.0,2001.0,14.0,52.0,1
2281.0,602.0,21.0,64.0,123.0,22.0,7.0,64.0,23.0,0
4995.0,651.0,21.0,71.0,269.0,47.0,7.0,64.0,51.0,1
7167.0,2870.0,21.0,66.0,50.0,4.0,7.0,64.0,4.0,1
1329.0,1486.0,21.0,64.0,369.0,231.0,2334.0,14.0,241.0,1
2665.0,2788.0,21.0,107.0,145.0,61.0,79.0,65.0,67.0,1
5031.0,220.0,21.0,21.0,16.0,87.0,2338.0,64.0,95.0,1
1329.0,90.0,21.0,64.0,202.0,108.0,281.0,39.0,117.0,1
304.0,1135.0,21.0,64.0,101.0,47.0,77.0,64.0,51.0,1
1329.0,2867.0,21.0,64.0,296.0,92.0,1113.0,14.0,100.0,1
5567.0,1619.0,21.0,68.0,196.0,342.0,609.0,18.0,33.0,1
5500.0,836.0,86.0,114.0,27.0,16.0,1459.0,63.0,16.0,1
5796.0,3608.0,3.0,34.0,33.0,88.0,1402.0,7.0,96.0,1
3437.0,1474.0,21.0,66.0,343.0,83.0,1860.0,21.0,91.0,1
3500.0,3673.0,21.0,71.0,72.0,17.0,1816.0,64.0,18.0,1
843.0,3434.0,11.0,32.0,17.0,0.0,4.0,3.0,0.0,1
3433.0,273.0,89.0,118.0,88.0,161.0,2338.0,33.0,170.0,1
4453.0,862.0,21.0,36.0,113.0,40.0,2143.0,66.0,44.0,1
3605.0,984.0,21.0,66.0,256.0,120.0,182.0,64.0,129.0,1
