ps_ind_01,ps_ind_02_cat,ps_ind_03,ps_ind_04_cat,ps_ind_05_cat,ps_ind_06_bin,ps_ind_07_bin,ps_ind_08_bin,ps_ind_09_bin,ps_ind_10_bin,ps_ind_11_bin,ps_ind_12_bin,ps_ind_13_bin,ps_ind_14,ps_ind_15,ps_ind_16_bin,ps_ind_17_bin,ps_ind_18_bin,ps_reg_01,ps_reg_02,ps_reg_03,ps_car_01_cat,ps_car_02_cat,ps_car_03_cat,ps_car_04_cat,ps_car_05_cat,ps_car_06_cat,ps_car_07_cat,ps_car_08_cat,ps_car_09_cat,ps_car_10_cat,ps_car_11_cat,ps_car_11,ps_car_12,ps_car_13,ps_car_14,ps_car_15,ps_calc_01,ps_calc_02,ps_calc_03,ps_calc_04,ps_calc_05,ps_calc_06,ps_calc_07,ps_calc_08,ps_calc_09,ps_calc_10,ps_calc_11,ps_calc_12,ps_calc_13,ps_calc_14,ps_calc_15_bin,ps_calc_16_bin,ps_calc_17_bin,ps_calc_18_bin,ps_calc_19_bin,ps_calc_20_bin,target
0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.7,0.0,0.3783186488,7.0,1.0,1.0,0.0,0.0,9.0,1.0,0.0,2.0,1.0,103.0,2.0,0.4,0.9602857701,0.316227766,3.7416573868,0.8,0.2,0.7,1.0,1.0,7.0,4.0,8.0,3.0,7.0,4.0,0.0,5.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0
1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.9,0.4,0.7331439149,7.0,1.0,,0.0,,11.0,1.0,1.0,2.0,1.0,100.0,3.0,0.3741657387,0.776514782,0.3849675311,3.3166247904,0.1,0.8,0.3,3.0,2.0,7.0,4.0,11.0,3.0,7.0,6.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0
4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.9,0.9,1.1521718622,11.0,1.0,,0.0,,4.0,1.0,1.0,2.0,1.0,83.0,3.0,0.316227766,0.7190874612,0.3667424164,3.3166247904,0.4,0.3,0.7,5.0,1.0,10.0,6.0,9.0,2.0,11.0,4.0,5.0,4.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,0
3.0,0.0,6.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.9,0.8,0.9236476601,7.0,1.0,,0.0,,6.0,1.0,1.0,2.0,1.0,103.0,3.0,0.3160696126,0.5268611246,0.3905124838,1.7320508076,0.6,0.1,0.4,3.0,2.0,8.0,2.0,9.0,2.0,6.0,5.0,2.0,3.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,0
0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,1.1548809462,7.0,1.0,1.0,0.0,0.0,11.0,1.0,0.0,2.0,1.0,100.0,3.0,0.3741657387,0.8817478885,0.3212475681,3.6055512755,0.2,0.2,0.5,1.0,3.0,7.0,0.0,10.0,4.0,9.0,7.0,2.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0
3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.9,0.7,0.9682458366,11.0,1.0,,0.0,,0.0,1.0,1.0,2.0,1.0,31.0,3.0,0.316227766,0.5867687114,0.3615245497,2.6457513111,0.0,0.7,0.9,2.0,2.0,5.0,1.0,9.0,2.0,9.0,6.0,0.0,1.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0.0,0.0,6.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.1,0.4,,11.0,1.0,,0.0,,0.0,1.0,0.0,2.0,1.0,22.0,3.0,0.4,0.9640650847,0.3974921383,3.6055512755,0.2,0.9,0.6,1.0,2.0,8.0,3.0,10.0,0.0,4.0,6.0,2.0,1.0,7.0,1.0,1.0,0.0,0.0,1.0,0.0,0
1.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.7,0.5,0.595294045,11.0,1.0,1.0,0.0,0.0,15.0,1.0,1.0,2.0,1.0,4.0,2.0,0.4242640687,0.9394257082,0.3255764119,3.0,0.8,0.3,0.7,3.0,3.0,6.0,4.0,10.0,1.0,9.0,6.0,4.0,0.0,5.0,0.0,1.0,1.0,1.0,1.0,0.0,0
2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.8,1.4,1.6818888192,11.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,2.0,1.0,103.0,3.0,0.4242640687,0.8971977725,0.3595830919,3.1622776602,0.5,0.1,0.1,3.0,2.0,8.0,3.0,7.0,3.0,9.0,5.0,4.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.8,0.2,0.6873863542,7.0,1.0,0.0,1.0,0.0,17.0,1.0,1.0,0.0,1.0,103.0,3.0,0.331662479,0.6632470838,0.2966479395,3.6055512755,0.5,0.7,0.4,4.0,2.0,7.0,2.0,9.0,5.0,5.0,4.0,2.0,5.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0
1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,0.6,0.1,0.4930770731,11.0,1.0,,0.0,,1.0,1.0,1.0,2.0,1.0,9.0,2.0,0.316227766,0.7039880493,0.3814446225,3.1622776602,0.7,0.0,0.7,1.0,1.0,9.0,4.0,10.0,2.0,9.0,5.0,0.0,2.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,0
0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.7,0.3,0.6968679932,7.0,1.0,,0.0,,14.0,1.0,1.0,2.0,1.0,103.0,1.0,0.3160696126,0.4804870119,0.3556683849,1.4142135624,0.7,0.8,0.6,2.0,4.0,10.0,3.0,8.0,2.0,6.0,6.0,1.0,3.0,8.0,0.0,1.0,0.0,0.0,1.0,1.0,0
