gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary
F,0.4950495049504948,Central,0.579688500106678,Central,Commerce,0.4571428571428571,CommMgmt,No,0.4375,MktHR,0.4061152489219912,Placed,0.1351351351351351
M,0.6871287128712871,Others,0.5476850864092171,Others,Commerce,0.3285714285714287,CommMgmt,Yes,0.4864583333333332,MktFin,0.4613876911015286,Placed,0.2027027027027027
M,0.3465346534653464,Central,0.4516748453168338,Central,Commerce,0.3428571428571429,CommMgmt,No,0.5833333333333335,MktHR,0.315954527636221,Placed,0.2432432432432432
M,0.3217821782178216,Central,0.2596543631320673,Others,Science,0.2857142857142858,CommMgmt,No,0.7291666666666667,MktHR,0.1081928655429242,Placed,0.0445945945945945
M,0.2970297029702968,Others,0.2383187540004268,Others,Commerce,0.2571428571428571,CommMgmt,No,0.25,MktFin,0.1736573892591137,Placed,0.0675675675675675
F,0.4331683168316831,Others,0.4175378707062087,Central,Arts,0.4551428571428573,CommMgmt,No,0.2291666666666667,MktFin,0.4660917287338293,Placed,0.0405405405405405
M,0.4455445544554455,Others,0.366332408790271,Others,Commerce,0.2285714285714286,CommMgmt,Yes,0.5083333333333335,MktHR,0.0435123480987846,Placed,0.1351351351351351
M,0.866336633663366,Others,0.8549178579048433,Others,Science,0.2428571428571428,SciTech,No,0.7508333333333335,MktFin,0.2759702077616621,Placed,0.0945945945945945
F,0.5693069306930691,Others,0.1956475357371452,Others,Science,0.3714285714285714,CommMgmt,No,0.1145833333333334,MktHR,0.2359858878871028,Placed,0.0675675675675675
M,0.5445544554455444,Others,0.6010241092383188,Others,Commerce,0.2857142857142858,CommMgmt,Yes,0.9166666666666669,MktFin,0.2026656213249702,Placed,0.054054054054054
M,0.7096534653465345,Others,0.2999786643908684,Others,Commerce,0.4191428571428572,CommMgmt,No,0.8125,MktFin,0.3139945119560954,Placed,0.1351351351351351
F,0.6178217821782175,Others,0.6010241092383188,Others,Commerce,0.3142857142857143,CommMgmt,No,0.4614583333333335,MktFin,0.4194433555468442,Placed,0.108108108108108
F,0.866336633663366,Central,0.4730104544484745,Central,Commerce,0.485714285714286,CommMgmt,No,0.5208333333333335,MktFin,0.8212465699725597,Placed,0.2027027027027027
M,0.3960396039603959,Central,0.366332408790271,Central,Arts,0.2285714285714286,CommMgmt,No,0.5208333333333335,MktFin,0.2124656997255973,Placed,0.0675675675675675
M,0.3712871287128712,Others,0.6223597183699594,Others,Science,0.2571428571428571,SciTech,Yes,0.3958333333333335,MktFin,0.2065856526852214,Placed,0.4054054054054054
F,0.6188118811881187,Others,0.3236611905269895,Others,Commerce,0.0571428571428571,CommMgmt,No,0.4166666666666667,MktHR,0.3077224617796941,Placed,0.0054054054054054
F,0.5940594059405939,Others,0.2596543631320673,Others,Science,0.2857142857142858,CommMgmt,No,0.8125,MktFin,0.3183065464523715,Placed,0.0216216216216215
