date,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
1/12/2015,Quarter2,finishing ,Monday,11,0.8,0.0241966705381339,0.044646333549643,0.0555555555555555,0.0,0.0,0,0,0.0689655172413793,0.4588445719650699
1/7/2015,Quarter1,sweing,Wednesday,10,0.75,0.4874177313201702,0.0491888384166125,0.40625,0.0191666666666666,0.0,0,0,0.6494252873563219,0.6386309602820887
2/1/2015,Quarter1,finishing ,Sunday,6,0.6,0.0,0.044646333549643,0.0462962962962962,0.0,0.0,0,0,0.0919540229885057,0.0907390156465128
2/28/2015,Quarter4,sweing,Saturday,7,0.8,0.5265195509097947,0.0275578628596149,0.0324074074074074,0.0105555555555555,0.0,0,1,0.6551724137931034,0.638611622985661
2/5/2015,Quarter1,sweing,Thursday,10,0.8,0.3797909407665505,0.044646333549643,0.2592592592592592,0.0313888888888888,0.0,0,0,0.6206896551724138,0.864172874397057
1/5/2015,Quarter1,sweing,Monday,6,0.8,0.1686024003097173,0.0304996755353666,0.2777777777777778,0.0138888888888888,0.0,0,0,0.3448275862068966,0.6389083958469961
2/4/2015,Quarter1,finishing,Wednesday,2,0.8,0.0201316298877274,0.044646333549643,0.0833333333333333,0.0,0.0,0,0,0.1839080459770115,0.8266914503586261
2/12/2015,Quarter2,sweing,Thursday,7,0.65,0.5265195509097947,0.0390222799048237,0.2731481481481481,0.0,0.0,0,1,0.6551724137931034,0.340545375408704
2/26/2015,Quarter4,finishing,Thursday,2,0.7,0.0193573364305071,0.044646333549643,0.037037037037037,0.0,0.0,0,0,0.0689655172413793,0.3640976250565638
1/24/2015,Quarter4,finishing ,Saturday,1,0.7,0.0201316298877274,0.044646333549643,0.0555555555555555,0.0,0.0,0,0,0.0689655172413793,0.3886280281673914
2/23/2015,Quarter4,finishing,Monday,12,0.8,0.0431668602400309,0.044646333549643,0.0416666666666666,0.0,0.0,0,0,0.0804597701149425,0.754223943534941
2/15/2015,Quarter3,sweing,Sunday,4,0.75,0.5265195509097947,0.0394548994159636,0.2754629629629629,0.0,0.0,0,1,0.6609195402298851,0.4115358023880279
