X,Y,ObjectID,Date,Sample_ID,Parameter,Results,Units,CAS,HRV,Units1,HRV_Types,Name,Description,Address,City_1,State,Zip
0.7427483045102008,0.4060395991491532,0.6552516182919189,May14,2177May14,n-Hexane,0.0008561770219801,ug/m3,110-54-3,0.0002631578947368,ug/m3,HRV,Smyth Companies LLC - Minneapolis NW,business,2300 26th St E,Minneapolis,MN,0.0925925925926094
0.8594491566142324,0.7741364336555421,0.3276258091459594,Aug14,2055Aug14,Toluene,0.0003026142922515,ug/m3,108-88-3,5.263157894736842e-05,ug/m3,HRV,Greenway co-located,Volunteer,2331 Roosevelt St NE,Minneapolis,MN,0.3148148148147811
0.9730833050977026,0.5928072472009376,0.2583002714554187,Aug14,1049Aug14,2-Butanone (MEK),0.000893081203962,ug/m3,78-93-3,0.0013157894736842,ug/m3,HRV,Kohl  Madden Printing Inc Corp NW,business,782 29th Ave SE,Minneapolis,MN,0.2407407407408754
0.2261752319770948,0.7209005054377258,0.0215076216329087,Nov13,0593Nov13,n-Hexane,0.0006347519300887,ug/m3,110-54-3,0.0002631578947368,ug/m3,HRV,Glen Gale Park co-located,MPRB,2466 Ilion Ave N,Minneapolis,MN,0.0
0.1850744503573196,0.3660375302347347,0.7275005220296513,May14,2665May14,Trichlorofluoromethane,0.0004133268381973,ug/m3,75-69-4,0.7368421052631579,ug/m3,REL,Greenway co-located,MPRB,2885 Knox Ave S,Minneapolis,MN,0.074074074074133
0.4367516362264041,0.4733321991799357,0.8611401127584046,Feb14,0838Feb14,"1,2,4-Trimethylbenzene",0.0003764226562154,ug/m3,95-63-6,0.0164473684210526,ug/m3,REL,Greenway co-located,Volunteer,1705 Stevens Ave,Minneapolis,MN,0.0370370370371802
0.3538822114963977,0.8041632881817122,0.106076425140948,Nov13,1260Nov13,Acetone,0.0014466439336905,ug/m3,67-64-1,0.0776315789473684,ug/m3,REL,Perkins Hill co-located,MPRB,3419 4th St N,Minneapolis,MN,0.2037037037036952
0.105186056586831,1.0,0.7513050741282105,May14,2678May14,Benzene,0.0001402358915312,ug/m3,71-43-2,1.7105263157894736e-07,ug/m3,HRV,Greenway co-located,Volunteer,5100 Thomas Ave N,Minneapolis,MN,0.5370370370371802
0.1850744503573196,0.3660375302347347,0.8216746711213196,Feb14,0423Feb14,Ethanol,0.0014835481156724,ug/m3,64-17-5,0.2499999999999999,ug/m3,REL,Greenway co-located,MPRB,2885 Knox Ave S,Minneapolis,MN,0.074074074074133
0.7427483045102008,0.4060395991491532,0.3616621424096888,Aug14,2318Aug14,mp-Xylene,0.0002066634190986,ug/m3,179601-23-1,0.0460526315789473,ug/m3,REL,Smyth Companies LLC - Minneapolis NE,business,2300 26th St E,Minneapolis,MN,0.0925925925926094
0.1711202225070565,0.9285857761211672,0.1806222593443307,Nov13,2089Nov13,Dichlorodifluoromethane,0.0010406979318896,ug/m3,75-71-8,0.6513157894736842,ug/m3,REL,Greenway co-located,volunteer,4434 Newton Ave N,Minneapolis,MN,0.2037037037036952
0.8915714402829735,0.0881983173760545,0.8930883274169973,Feb14,1212Feb14,Toluene,0.0008561770219801,ug/m3,108-88-3,5.263157894736842e-05,ug/m3,HRV,Greenway co-located,Volunteer,5325 35th Ave S,Minneapolis,MN,0.2962962962963047
0.1332356681236888,0.5796686350673781,0.1896011693464188,Nov13,2132Nov13,Dichlorodifluoromethane,0.000893081203962,ug/m3,75-71-8,0.6513157894736842,ug/m3,REL,Greenway co-located,volunteer,428 Russell Ave N,Minneapolis,MN,0.074074074074133
0.6662076316539469,0.615074439502564,0.397160158697014,Aug14,2685Aug14,n-Heptane,0.0004133268381973,ug/m3,142-82-5,0.0460526315789473,ug/m3,REL,Greenway co-located,Volunteer,400 6th St SE,Minneapolis,MN,0.2407407407408754
0.9730833050977026,0.5928072472009376,0.5890582585090833,May14,1645May14,Ethanol,0.0037347032165685,ug/m3,64-17-5,0.2499999999999999,ug/m3,REL,Kohl  Madden Printing Inc Corp SE,business,782 29th Ave SE,Minneapolis,MN,0.2407407407408754
0.5899015611831828,0.3591428250896911,0.5259970766339528,May14,1089May14,Naphthalene,0.0004502310201792,ug/m3,91-20-3,1.1842105263157894e-06,ug/m3,HRV,Falconer's Cleaners NW Corner,business,1229 Lake St E,Minneapolis,MN,0.0925925925926094
0.4360093784000582,0.4250332972659407,0.1743579035289204,Nov13,2063Nov13,Naphthalene,0.0007454644760344,ug/m3,91-20-3,1.1842105263157894e-06,ug/m3,HRV,Greenway co-located,volunteer,2418 Stevens Ave,Minneapolis,MN,0.0555555555556566
0.557202844865401,0.4794625507047385,0.0747546460638964,Nov13,0984Nov13,Dichlorodifluoromethane,0.0007823686580163,ug/m3,75-71-8,0.6513157894736842,ug/m3,REL,Greenway co-located,volunteer,1605 Elliot Ave,Minneapolis,MN,0.0555555555556566
0.3906729090349472,0.0731625687440669,0.675923992482773,May14,2337May14,Ethyl acetate,0.011816719070605,ug/m3,141-78-6,0.1842105263157894,ug/m3,REL,Greenway co-located,Volunteer,5404 Wentworth Ave S,Minneapolis,MN,0.3333333333334849
0.5191131923237435,0.5806358058314913,0.0624347462935894,Nov13,0946Nov13,Chloromethane,0.0001549975643239,ug/m3,74-87-3,0.0271768421052631,ug/m3,PEL,Greenway co-located,volunteer,111 Marquette Ave,Minneapolis,MN,0.0
0.105186056586831,1.0,0.2094382960952182,Aug14,0291Aug14,2-Butanone (MEK),0.0003395184742335,ug/m3,78-93-3,0.0013157894736842,ug/m3,HRV,Greenway co-located,Volunteer,5100 Thomas Ave N,Minneapolis,MN,0.5370370370371802
0.7427483045102008,0.4060395991491532,0.0797661307162246,Nov13,1047Nov13,Methylene Chloride,0.0009299853859439,ug/m3,75-09-2,2.6315789473684207e-06,ug/m3,HRV,Smyth Companies LLC - Minneapolis NW,business,2300 26th St E,Minneapolis,MN,0.0925925925926094
0.8646840440295591,0.2753751521511844,0.1964919607433702,Nov13,2362Nov13,Acetone,0.0039561283084599,ug/m3,67-64-1,0.0776315789473684,ug/m3,REL,Olson Paint  Body Shop NW Corner of back lot,business,3701 Minnehaha Ave,Minneapolis,MN,0.0925925925926094
0.6941009811902177,0.305461523909571,0.4207558989350595,Aug14,2766Aug14,Acetone,0.0022954401192743,ug/m3,67-64-1,0.0776315789473684,ug/m3,REL,Greenway co-located,Volunteer,3440 19th Ave S,Minneapolis,MN,0.1111111111110858
0.8210762634930688,0.4566076235293508,0.1589058258509083,Nov13,2016Nov13,n-Hexane,0.0002657101102696,ug/m3,110-54-3,0.0002631578947368,ug/m3,HRV,Greenway co-located,volunteer,914 29th Ave S,Minneapolis,MN,0.0925925925926094
0.3240355450784591,0.9876797670535212,0.8398413029860096,Feb14,0625Feb14,Cyclohexane,0.0002657101102696,ug/m3,110-82-7,0.1381578947368421,ug/m3,REL,Greenway co-located,Volunteer,629 50th Ave N,Minneapolis,MN,0.5370370370371802
0.8473090237639553,0.2772502568795971,0.9402798078930884,Feb14,1671Feb14,2-Propanol,0.000195592164504,ug/m3,67-63-0,0.1289473684210526,ug/m3,REL,Best Body Shop East Side,business,3712 Snelling Ave,Minneapolis,MN,0.0555555555556566
0.0977341568333258,0.9762523012977908,0.6489872624765086,May14,2170May14,Carbon tetrachloride,8.857003675656525e-05,ug/m3,56-23-5,0.0016578947368421,ug/m3,REL,Pinta Foamtec,business,2601 49th Ave N,Minneapolis,MN,0.5370370370371802
0.0977341568333258,0.9762523012977908,0.3825433284610566,Aug14,2383Aug14,n-Heptane,0.0005609435661249,ug/m3,142-82-5,0.0460526315789473,ug/m3,REL,Pinta Foamtec NW Corner,business,2601 49th Ave N,Minneapolis,MN,0.5370370370371802
0.0977341568333258,0.9762523012977908,0.3827521403215702,Aug14,2383Aug14,n-Hexane,0.0018525899354914,ug/m3,110-54-3,0.0002631578947368,ug/m3,HRV,Pinta Foamtec NW Corner,business,2601 49th Ave N,Minneapolis,MN,0.5370370370371802
0.9990428676471764,0.2481902827400972,0.3835873877636249,Aug14,2389Aug14,Acetone,0.0048418286760255,ug/m3,67-64-1,0.0776315789473684,ug/m3,REL,Greenway co-located,Volunteer,3945 45th Ave S,Minneapolis,MN,0.0925925925926094
0.1332356681236888,0.5796686350673781,0.2927542284401754,Aug14,1263Aug14,Ethylbenzene,0.0003764226562154,ug/m3,100-41-4,0.0013157894736842,ug/m3,HRV,Greenway co-located,Volunteer,428 Russell Ave N,Minneapolis,MN,0.074074074074133
0.8473090237639553,0.2772502568795971,0.6005429108373356,May14,1720May14,Methylene Chloride,0.0086798636021433,ug/m3,75-09-2,2.6315789473684207e-06,ug/m3,HRV,Best Body Shop Mid Side Fence,business,3712 Snelling Ave,Minneapolis,MN,0.0555555555556566
0.1250122042806651,0.677166647753495,0.8012111087909793,Feb14,0190Feb14,Propylene,0.0005609435661249,ug/m3,115-07-1,0.1381578947368421,ug/m3,REL,Greenway co-located,Volunteer,1718 Sheridan Ave N,Minneapolis,MN,0.1851851851852188
0.6664615735843427,0.6066823956170424,0.7133013155147212,May14,2658May14,n-Heptane,0.0006347519300887,ug/m3,142-82-5,0.0460526315789473,ug/m3,REL,Greenway co-located,Volunteer,422 5th St SE,Minneapolis,MN,0.2407407407408754
0.3538822114963977,0.8041632881817122,0.9918563374399666,Feb14,2344Feb14,Benzene,0.0003395184742335,ug/m3,71-43-2,1.7105263157894736e-07,ug/m3,HRV,Perkins Hill co-located,MPRB,3419 4th St N,Minneapolis,MN,0.2037037037036952
0.9246313035677076,0.1475973307158824,0.2480684902902485,Aug14,0966Aug14,Cyclohexane,0.0005609435661249,ug/m3,110-82-7,0.1381578947368421,ug/m3,REL,Greenway co-located,Volunteer,4811 38th Avenue S,Minneapolis,MN,0.2962962962963047
0.8357163751574035,0.7449577062019443,0.4790144080183754,May14,0561May14,Ethylbenzene,0.0003026142922515,ug/m3,100-41-4,0.0013157894736842,ug/m3,HRV,Greenway co-located,Volunteer,1911 McKinley St NE,Minneapolis,MN,0.3148148148147811
0.0977341568333258,0.9762523012977908,0.6032574650240133,May14,1722May14,Naphthalene,0.0003764226562154,ug/m3,91-20-3,1.1842105263157894e-06,ug/m3,HRV,Pinta Foamtec,business,2601 49th Ave N,Minneapolis,MN,0.5370370370371802
0.0792460163180521,0.9072857526899724,0.5850908331593234,May14,1639May14,2-Butanone (MEK),0.0002657101102696,ug/m3,78-93-3,0.0013157894736842,ug/m3,HRV,Greenway co-located,Volunteer,4254 Washburn Ave N,Minneapolis,MN,0.2037037037036952
0.9730833050977026,0.5928072472009376,0.50198371267488,May14,0825May14,n-Hexane,0.0002288059282877,ug/m3,110-54-3,0.0002631578947368,ug/m3,HRV,Kohl  Madden Printing Inc Corp SW,business,782 29th Ave SE,Minneapolis,MN,0.2407407407408754
0.492030466666165,0.4918125482682285,0.0225516809354771,Nov13,0636Nov13,Chloromethane,0.0002657101102696,ug/m3,74-87-3,0.0271768421052631,ug/m3,PEL,Greenway co-located,volunteer,501 14th St E,Minneapolis,MN,0.0555555555556566
0.8023439802577741,0.6484938214496196,0.8786803090415536,Feb14,1044Feb14,Toluene,0.0005609435661249,ug/m3,108-88-3,5.263157894736842e-05,ug/m3,HRV,Greenway co-located,Volunteer,1177 14th Ave SE,Minneapolis,MN,0.2407407407408754
1.0,0.3509184454703131,0.3397368970557528,Aug14,2102Aug14,Trichlorofluoromethane,0.0003026142922515,ug/m3,75-69-4,0.7368421052631579,ug/m3,REL,Greenway co-located,Volunteer,3038 45th Ave S,Minneapolis,MN,0.0925925925926094
0.8023439802577741,0.6484938214496196,0.0121110879097932,Nov13,0349Nov13,Chloromethane,0.0002103538372968,ug/m3,74-87-3,0.0271768421052631,ug/m3,PEL,Greenway co-located,volunteer,1177 14th Ave SE,Minneapolis,MN,0.2407407407408754
0.6664615735843427,0.6066823956170424,0.0158697013990394,Nov13,0446Nov13,Trichlorofluoromethane,0.000524039384143,ug/m3,75-69-4,0.7368421052631579,ug/m3,REL,Greenway co-located,volunteer,422 5th St SE,Minneapolis,MN,0.2407407407408754
0.5222091945936427,0.920387163148007,0.166214240968887,Nov13,2041Nov13,Trichloroethene,0.0293462055120086,ug/m3,79-01-6,3.947368421052633e-07,ug/m3,HRV,Greenway co-located,volunteer,3654 2 1/2 St NE,Minneapolis,MN,0.3148148148147811
0.4142982646494602,0.2607188330744066,0.0768427646690332,Nov13,1046Nov13,Dichlorodifluoromethane,0.0007454644760344,ug/m3,75-71-8,0.6513157894736842,ug/m3,REL,Greenway co-located,volunteer,3833 Nicollet Ave S,Minneapolis,MN,0.148148148148266
0.6662076316539469,0.615074439502564,0.3959072875339319,Aug14,2685Aug14,2-Butanone (MEK),0.0011514104778353,ug/m3,78-93-3,0.0013157894736842,ug/m3,HRV,Greenway co-located,Volunteer,400 6th St SE,Minneapolis,MN,0.2407407407408754
0.5750170936072436,0.6995082363865777,0.1639173105032366,Nov13,2033Nov13,Methylene Chloride,0.0003026142922515,ug/m3,75-09-2,2.6315789473684207e-06,ug/m3,HRV,Greenway co-located,volunteer,1300 6th St NE,Minneapolis,MN,0.2222222222221717
0.4360093784000582,0.4250332972659407,1.0,Feb14,2391Feb14,Vinyl acetate,0.0009668895679258,ug/m3,108-05-4,2.631578947368421e-05,ug/m3,HRV,Greenway co-located,Volunteer,2418 Stevens Ave,Minneapolis,MN,0.0555555555556566
0.2209786124961965,0.6759390845301709,0.3579035289204427,Aug14,2299Aug14,Toluene,0.000524039384143,ug/m3,108-88-3,5.263157894736842e-05,ug/m3,HRV,North Commons Park,MPRB,1801 James Ave. N,Minneapolis,MN,0.1851851851852188
0.9730833050977026,0.5928072472009376,0.4852787638337857,May14,0593May14,Trichlorofluoromethane,0.000524039384143,ug/m3,75-69-4,0.7368421052631579,ug/m3,REL,Kohl  Madden Printing Inc Corp NW,business,782 29th Ave SE,Minneapolis,MN,0.2407407407408754
0.6837679460793424,0.1727139489318006,0.3954896638129045,Aug14,2683Aug14,Propylene,0.0003764226562154,ug/m3,115-07-1,0.1381578947368421,ug/m3,REL,Greenway co-located,Volunteer,4600 Longfellow Ave S,Minneapolis,MN,0.1111111111110858
0.1850744503573196,0.3660375302347347,0.7272917101691376,May14,2665May14,Toluene,0.0002398771828823,ug/m3,108-88-3,5.263157894736842e-05,ug/m3,HRV,Greenway co-located,MPRB,2885 Knox Ave S,Minneapolis,MN,0.074074074074133
0.0739232405691154,0.9388452038898548,0.7855502192524535,Feb14,0047Feb14,Ethanol,0.0021478233913467,ug/m3,64-17-5,0.2499999999999999,ug/m3,REL,Greenway co-located,Volunteer,4523 Washburn Ave N,Minneapolis,MN,0.2037037037036952
0.9334602931313613,0.2345085646298912,0.0252662351221549,Nov13,0657Nov13,Acetone,0.0010037937499077,ug/m3,67-64-1,0.0776315789473684,ug/m3,REL,Greenway co-located,volunteer,4050 39th Ave S,Minneapolis,MN,0.0925925925926094
0.6096838979550512,0.4675909885462488,0.7172687408644811,May14,2662May14,Acetone,0.0075727381426863,ug/m3,67-64-1,0.0776315789473684,ug/m3,REL,MPCA - 962,MPCA,1445 18th St E,Minneapolis,MN,0.0555555555556566
0.597480218710075,0.146310255037406,0.8807684276466903,Feb14,1049Feb14,Trichlorofluoromethane,0.0006716561120706,ug/m3,75-69-4,0.7368421052631579,ug/m3,REL,Greenway co-located,Volunteer,4820 13th Ave S,Minneapolis,MN,0.2962962962963047
0.5899015611831828,0.3591428250896911,0.5696387554813114,May14,1486May14,Ethanol,0.0086060552381795,ug/m3,64-17-5,0.2499999999999999,ug/m3,REL,Falconer's Cleaners SW Corner,business,1229 Lake St E,Minneapolis,MN,0.0925925925926094
0.1332356681236888,0.5796686350673781,0.1900187930674462,Nov13,2132Nov13,Methylene Chloride,0.0113000605228584,ug/m3,75-09-2,2.6315789473684207e-06,ug/m3,HRV,Greenway co-located,volunteer,428 Russell Ave N,Minneapolis,MN,0.074074074074133
0.9334602931313613,0.2345085646298912,0.0258926707036959,Nov13,0657Nov13,Dichlorodifluoromethane,0.0007454644760344,ug/m3,75-71-8,0.6513157894736842,ug/m3,REL,Greenway co-located,volunteer,4050 39th Ave S,Minneapolis,MN,0.0925925925926094
0.7427483045102008,0.4060395991491532,0.9757778241804136,Feb14,2139Feb14,Methylene Chloride,0.0055799123156636,ug/m3,75-09-2,2.6315789473684207e-06,ug/m3,HRV,Smyth Companies LLC - Minneapolis SE,business,2300 26th St E,Minneapolis,MN,0.0925925925926094
0.1136732082726439,0.7332028972475086,0.2624765086656922,Aug14,1057Aug14,Propylene,0.0002546388556751,ug/m3,115-07-1,0.1381578947368421,ug/m3,REL,Greenway co-located,Volunteer,2607 Thomas Ave N,Minneapolis,MN,0.1851851851852188
0.9730833050977026,0.5928072472009376,0.5028189601169346,May14,0825May14,Trichlorofluoromethane,0.0004133268381973,ug/m3,75-69-4,0.7368421052631579,ug/m3,REL,Kohl  Madden Printing Inc Corp SW,business,782 29th Ave SE,Minneapolis,MN,0.2407407407408754
0.6664615735843427,0.6066823956170424,0.7872207141365629,Feb14,0052Feb14,Dichlorodifluoromethane,0.0008561770219801,ug/m3,75-71-8,0.6513157894736842,ug/m3,REL,Greenway co-located,Volunteer,422 5th St SE,Minneapolis,MN,0.2407407407408754
0.7427483045102008,0.4060395991491532,0.4913343077886823,May14,0632May14,n-Hexane,0.0005609435661249,ug/m3,110-54-3,0.0002631578947368,ug/m3,HRV,Smyth Companies LLC - Minneapolis SE,business,2300 26th St E,Minneapolis,MN,0.0925925925926094
0.8023439802577741,0.6484938214496196,0.2459803716851117,Aug14,0964Aug14,Dichlorodifluoromethane,0.0009299853859439,ug/m3,75-71-8,0.6513157894736842,ug/m3,REL,Greenway co-located,Volunteer,1177 14th Ave SE,Minneapolis,MN,0.2407407407408754
0.4142982646494602,0.2607188330744066,0.5324702443098768,May14,1198May14,Trichlorofluoromethane,0.0010406979318896,ug/m3,75-69-4,0.7368421052631579,ug/m3,REL,Greenway co-located,Volunteer,3833 Nicollet Ave S,Minneapolis,MN,0.148148148148266
0.6711397562089587,0.0508879348712412,0.8736688243892253,Feb14,0964Feb14,Ethanol,0.0049894454039531,ug/m3,64-17-5,0.2499999999999999,ug/m3,REL,Greenway co-located,Volunteer,5604 Cedar Ave S,Minneapolis,MN,0.2962962962963047
0.8646840440295591,0.2753751521511844,0.0922948423470453,Nov13,1198Nov13,n-Hexane,0.0003026142922515,ug/m3,110-54-3,0.0002631578947368,ug/m3,HRV,Olson Paint  Body Shop NW Corner of back lot,business,3701 Minnehaha Ave,Minneapolis,MN,0.0925925925926094
0.3104697679777928,0.9553763411475984,0.3487158070578409,Aug14,2164Aug14,Chloromethane,6.273710936923373e-05,ug/m3,74-87-3,0.0271768421052631,ug/m3,PEL,Greenway co-located,Volunteer,4710 Aldrich Ave N,Minneapolis,MN,0.5370370370371802
0.221066508443755,0.7625824902737008,0.794320317394028,Feb14,0114Feb14,Dichlorodifluoromethane,0.0007454644760344,ug/m3,75-71-8,0.6513157894736842,ug/m3,REL,Jordan Park co-located,MPRB,2943 James Ave N,Minneapolis,MN,0.1851851851852188
0.6711397562089587,0.0508879348712412,0.1931509709751514,Nov13,2159Nov13,Acetone,0.0017787815715276,ug/m3,67-64-1,0.0776315789473684,ug/m3,REL,Greenway co-located,volunteer,5604 Cedar Ave S,Minneapolis,MN,0.2962962962963047
0.049885252160152,0.360211741554167,0.6159949885153476,May14,2036May14,2-Propanol,0.0018894941174733,ug/m3,67-63-0,0.1289473684210526,ug/m3,REL,Greenway co-located,Volunteer,3118 Lake St W,Minneapolis,MN,0.2777777777778283
0.6664615735843427,0.6066823956170424,0.7130925036542075,May14,2658May14,Naphthalene,0.0007454644760344,ug/m3,91-20-3,1.1842105263157894e-06,ug/m3,HRV,Greenway co-located,Volunteer,422 5th St SE,Minneapolis,MN,0.2407407407408754
0.5981545825511603,0.1482524226539681,0.2946335351847984,Aug14,1271Aug14,Carbon disulfide,0.0002620196920715,ug/m3,75-15-0,9.210526315789473e-05,ug/m3,HRV,Greenway co-located,Volunteer,4821 13th Ave S,Minneapolis,MN,0.3148148148147811
0.0926309458315017,0.7321988408269249,0.5076216329087492,May14,0851May14,Ethylbenzene,0.0002583292738733,ug/m3,100-41-4,0.0013157894736842,ug/m3,HRV,Theodore Wirth Park co-located,MPRB,2600 Vincent Ave N,Minneapolis,MN,0.3888888888889141
0.565416532339782,0.3912047255568041,0.3211526414700354,Aug14,2036Aug14,2-Butanone (MEK),0.0003395184742335,ug/m3,78-93-3,0.0013157894736842,ug/m3,HRV,MPCA - 963,MPCA,2727 10th Ave S,Minneapolis,MN,0.1111111111110858
0.0676397462763134,0.0623155449065961,0.4086448110252662,Aug14,2703Aug14,Acetone,0.0081632050543967,ug/m3,67-64-1,0.0776315789473684,ug/m3,REL,Martinizing Dry Cleaners NE,business,5559 Xerxes Ave S,Minneapolis,MN,0.1666666666667424
0.4224143026503952,0.1091189102692737,0.2562121528502818,Aug14,0984Aug14,Trichlorofluoromethane,0.0005609435661249,ug/m3,75-69-4,0.7368421052631579,ug/m3,REL,Greenway co-located,Volunteer,21 Luverne Ave S,Minneapolis,MN,0.3333333333334849
