FM,LC,BK,SS,AG,YR,CD
0,1,1,0,0.6666666666666665,0.78,0.5555555555555556
0,0,1,0,0.3999999999999999,0.56,0.2222222222222222
0,1,1,1,0.8666666666666667,0.8200000000000001,0.888888888888889
0,1,1,0,0.7333333333333332,0.78,0.4444444444444445
0,0,0,0,0.7999999999999998,0.86,0.4444444444444445
1,0,1,0,0.4333333333333333,0.0,0.0
0,0,0,0,0.8999999999999999,0.8200000000000001,0.1333333333333333
0,0,0,0,0.9333333333333332,0.92,0.4444444444444445
0,1,0,0,0.833333333333333,0.86,0.4444444444444445
1,1,0,0,0.8999999999999999,0.8,0.5555555555555556
1,0,0,1,0.8999999999999999,0.0,0.0
0,0,0,0,0.8666666666666667,0.4,0.3333333333333333
0,1,1,0,0.1333333333333333,0.44,0.3333333333333333
1,1,1,0,0.3999999999999999,0.46,0.4444444444444445
0,0,1,0,0.5,0.56,0.5555555555555556
0,0,1,0,0.3333333333333332,0.56,0.888888888888889
1,1,1,0,0.3333333333333332,0.5,0.5555555555555556
0,0,0,0,0.6333333333333333,0.78,0.5555555555555556
0,1,1,0,0.9666666666666668,1.0,0.5555555555555556
0,0,0,1,0.8666666666666667,0.8200000000000001,0.4444444444444445
1,1,1,0,0.3999999999999999,0.54,0.4444444444444445
1,0,1,0,0.5333333333333332,0.18,0.2222222222222222
0,0,0,0,0.6666666666666665,0.7000000000000001,0.3333333333333333
0,0,1,0,0.9666666666666668,0.76,0.5555555555555556
0,1,0,1,0.7,0.84,0.6666666666666667
1,0,0,0,0.3999999999999999,0.54,0.4444444444444445
0,0,0,0,0.6666666666666665,0.48,0.3333333333333333
0,0,0,0,0.833333333333333,0.88,0.6666666666666667
0,1,0,0,0.7,0.76,0.4444444444444445
1,1,1,0,0.7,0.74,0.4444444444444445
1,0,0,1,0.8666666666666667,0.0,0.0
1,0,0,0,0.7666666666666666,0.0,0.0
0,1,0,0,0.7,0.7000000000000001,0.5555555555555556
0,0,0,0,0.6333333333333333,0.64,0.6666666666666667
0,0,0,1,0.9666666666666668,0.84,0.4
0,0,1,0,0.7333333333333332,0.7000000000000001,0.4444444444444445
1,0,1,0,0.7,0.68,0.3333333333333333
0,0,0,1,0.8666666666666667,0.84,0.2222222222222222
0,0,0,0,0.7,0.3,0.888888888888889
1,1,1,0,0.2333333333333331,0.44,0.3333333333333333
0,0,0,0,0.8999999999999999,0.9,0.4444444444444445
0,0,0,1,0.2999999999999998,0.48,0.4444444444444445
0,0,0,1,0.5333333333333332,0.58,0.2222222222222222
0,0,1,0,0.6666666666666665,0.48,0.1777777777777777
0,0,0,1,0.9333333333333332,0.94,1.0
0,0,0,1,0.7333333333333332,0.14,0.0222222222222222
1,1,1,0,0.2999999999999998,0.48,0.3333333333333333
0,0,1,0,0.6333333333333333,0.72,0.4444444444444445
0,0,0,0,0.8666666666666667,0.44,0.4444444444444445
1,0,0,0,0.7999999999999998,0.0,0.0
0,0,0,0,0.8999999999999999,0.72,0.3333333333333333
0,0,0,0,0.7333333333333332,0.74,0.3333333333333333
1,1,1,0,0.7666666666666666,0.76,0.3333333333333333
1,0,1,0,0.2999999999999998,0.0,0.0
0,0,1,0,0.5999999999999999,0.78,0.3333333333333333
0,1,1,1,0.833333333333333,0.78,0.4444444444444445
